"","sample","i_samp","variate","job"
"178","clusterStrong","77","AGB",0
"179","clusterStrong","78","AGB",0
"180","clusterStrong","79","AGB",0
"181","clusterStrong","80","AGB",0
"182","clusterStrong","81","AGB",0
"183","clusterStrong","82","AGB",0
"184","clusterStrong","83","AGB",0
"185","clusterStrong","84","AGB",0
"186","clusterStrong","85","AGB",0
"187","clusterStrong","86","AGB",0
"188","clusterStrong","87","AGB",0
"189","clusterStrong","88","AGB",0
"190","clusterStrong","89","AGB",0
"191","clusterStrong","90","AGB",0
"192","clusterStrong","91","AGB",0
"193","clusterStrong","92","AGB",0
"194","clusterStrong","93","AGB",0
"195","clusterStrong","94","AGB",0
"196","clusterStrong","95","AGB",0
"197","clusterStrong","96","AGB",0
"198","clusterStrong","97","AGB",0
"199","clusterStrong","98","AGB",0
"200","clusterStrong","99","AGB",0
"201","clusterStrong","100","AGB",0
"202","clusterGapped","1","AGB",0
"203","clusterGapped","2","AGB",0
"204","clusterGapped","3","AGB",0
"205","clusterGapped","4","AGB",0
"206","clusterGapped","5","AGB",0
"207","clusterGapped","6","AGB",0
"208","clusterGapped","7","AGB",0
"209","clusterGapped","8","AGB",0
"210","clusterGapped","9","AGB",0
"211","clusterGapped","10","AGB",0
"212","clusterGapped","11","AGB",0
"213","clusterGapped","12","AGB",0
"214","clusterGapped","13","AGB",0
"215","clusterGapped","14","AGB",0
"216","clusterGapped","15","AGB",0
"217","clusterGapped","16","AGB",0
"218","clusterGapped","17","AGB",0
"219","clusterGapped","18","AGB",0
"220","clusterGapped","19","AGB",0
"221","clusterGapped","20","AGB",0
"222","clusterGapped","21","AGB",0
"223","clusterGapped","22","AGB",0
"224","clusterGapped","23","AGB",0
"225","clusterGapped","24","AGB",0
"226","clusterGapped","25","AGB",0
"227","clusterGapped","26","AGB",0
"228","clusterGapped","27","AGB",0
"229","clusterGapped","28","AGB",0
"230","clusterGapped","29","AGB",0
"231","clusterGapped","30","AGB",0
"232","clusterGapped","31","AGB",0
"233","clusterGapped","32","AGB",0
"234","clusterGapped","33","AGB",0
"235","clusterGapped","34","AGB",0
"236","clusterGapped","35","AGB",0
"237","clusterGapped","36","AGB",0
"238","clusterGapped","37","AGB",0
"239","clusterGapped","38","AGB",0
"240","clusterGapped","39","AGB",0
"241","clusterGapped","40","AGB",0
"242","clusterGapped","41","AGB",0
"243","clusterGapped","42","AGB",0
"244","clusterGapped","43","AGB",0
"245","clusterGapped","44","AGB",0
"246","clusterGapped","45","AGB",0
"247","clusterGapped","46","AGB",0
"248","clusterGapped","47","AGB",0
"249","clusterGapped","48","AGB",0
"250","clusterGapped","49","AGB",0
"251","clusterGapped","50","AGB",0
"252","clusterGapped","51","AGB",0
"253","clusterGapped","52","AGB",0
"254","clusterGapped","53","AGB",0
"255","clusterGapped","54","AGB",0
"256","clusterGapped","55","AGB",0
"257","clusterGapped","56","AGB",0
"258","clusterGapped","57","AGB",0
"259","clusterGapped","58","AGB",0
"260","clusterGapped","59","AGB",0
"261","clusterGapped","60","AGB",0
"262","clusterGapped","61","AGB",0
"263","clusterGapped","62","AGB",0
"264","clusterGapped","63","AGB",0
"265","clusterGapped","64","AGB",0
"266","clusterGapped","65","AGB",0
"267","clusterGapped","66","AGB",0
"268","clusterGapped","67","AGB",0
"269","clusterGapped","68","AGB",0
"270","clusterGapped","69","AGB",0
"271","clusterGapped","70","AGB",0
"272","clusterGapped","71","AGB",0
"273","clusterGapped","72","AGB",0
"274","clusterGapped","73","AGB",0
"275","clusterGapped","74","AGB",0
"276","clusterGapped","75","AGB",0
"277","clusterGapped","76","AGB",0
"278","clusterGapped","77","AGB",0
"279","clusterGapped","78","AGB",0
"280","clusterGapped","79","AGB",0
"281","clusterGapped","80","AGB",0
"282","clusterGapped","81","AGB",0
"283","clusterGapped","82","AGB",0
"284","clusterGapped","83","AGB",0
"285","clusterGapped","84","AGB",0
"286","clusterGapped","85","AGB",0
"287","clusterGapped","86","AGB",0
"288","clusterGapped","87","AGB",0
"289","clusterGapped","88","AGB",0
"290","clusterGapped","89","AGB",0
"291","clusterGapped","90","AGB",0
"292","clusterGapped","91","AGB",0
"293","clusterGapped","92","AGB",0
"294","clusterGapped","93","AGB",0
"295","clusterGapped","94","AGB",0
"296","clusterGapped","95","AGB",0
"297","clusterGapped","96","AGB",0
"298","clusterGapped","97","AGB",0
"299","clusterGapped","98","AGB",0
"300","clusterGapped","99","AGB",0
"301","clusterGapped","100","AGB",0
"302","regular","1","AGB",0
"303","regular","2","AGB",0
"304","regular","3","AGB",0
"305","regular","4","AGB",0
"306","regular","5","AGB",0
"307","regular","6","AGB",0
"308","regular","7","AGB",0
"309","regular","8","AGB",0
"310","regular","9","AGB",0
"311","regular","10","AGB",0
"312","regular","11","AGB",0
"313","regular","12","AGB",0
"314","regular","13","AGB",0
"315","regular","14","AGB",0
"316","regular","15","AGB",0
"317","regular","16","AGB",0
"318","regular","17","AGB",0
"319","regular","18","AGB",0
"320","regular","19","AGB",0
"321","regular","20","AGB",0
"322","regular","21","AGB",0
"323","regular","22","AGB",0
"324","regular","23","AGB",0
"325","regular","24","AGB",0
"326","regular","25","AGB",0
"327","regular","26","AGB",0
"328","regular","27","AGB",0
"329","regular","28","AGB",0
"330","regular","29","AGB",0
"331","regular","30","AGB",0
"332","regular","31","AGB",0
"333","regular","32","AGB",0
"334","regular","33","AGB",0
"335","regular","34","AGB",0
"336","regular","35","AGB",0
"337","regular","36","AGB",0
"338","regular","37","AGB",0
"339","regular","38","AGB",0
"340","regular","39","AGB",0
"341","regular","40","AGB",0
"342","regular","41","AGB",0
"343","regular","42","AGB",0
"344","regular","43","AGB",0
"345","regular","44","AGB",0
"346","regular","45","AGB",0
"347","regular","46","AGB",0
"348","regular","47","AGB",0
"349","regular","48","AGB",0
"350","regular","49","AGB",0
"351","regular","50","AGB",0
"352","regular","51","AGB",0
"353","regular","52","AGB",0
"354","regular","53","AGB",0
"355","regular","54","AGB",0
"356","regular","55","AGB",0
"357","regular","56","AGB",0
"358","regular","57","AGB",0
"359","regular","58","AGB",0
"360","regular","59","AGB",0
"361","regular","60","AGB",0
"362","regular","61","AGB",0
"363","regular","62","AGB",0
"364","regular","63","AGB",0
"365","regular","64","AGB",0
"366","regular","65","AGB",0
"367","regular","66","AGB",0
"368","regular","67","AGB",0
"369","regular","68","AGB",0
"370","regular","69","AGB",0
"371","regular","70","AGB",0
"372","regular","71","AGB",0
"373","regular","72","AGB",0
"374","regular","73","AGB",0
"375","regular","74","AGB",0
"376","regular","75","AGB",0
"377","regular","76","AGB",0
"378","regular","77","AGB",0
"379","regular","78","AGB",0
"380","regular","79","AGB",0
"381","regular","80","AGB",0
"382","regular","81","AGB",0
"383","regular","82","AGB",0
"384","regular","83","AGB",0
"385","regular","84","AGB",0
"386","regular","85","AGB",0
"387","regular","86","AGB",0
"388","regular","87","AGB",0
"389","regular","88","AGB",0
"390","regular","89","AGB",0
"391","regular","90","AGB",0
"392","regular","91","AGB",0
"393","regular","92","AGB",0
"394","regular","93","AGB",0
"395","regular","94","AGB",0
"396","regular","95","AGB",0
"397","regular","96","AGB",0
"398","regular","97","AGB",0
"399","regular","98","AGB",0
"400","regular","99","AGB",0
"401","regular","100","AGB",0
"402","simpleRandom","1","AGB",0
"403","simpleRandom","2","AGB",0
"404","simpleRandom","3","AGB",0
"405","simpleRandom","4","AGB",0
"406","simpleRandom","5","AGB",0
"407","simpleRandom","6","AGB",0
"408","simpleRandom","7","AGB",0
"409","simpleRandom","8","AGB",0
"410","simpleRandom","9","AGB",0
"411","simpleRandom","10","AGB",0
"412","simpleRandom","11","AGB",0
"413","simpleRandom","12","AGB",0
